business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
nYvBZYg9rfqWFTYuxSVMdw,Cantina Laredo,2004 Crocker Rd,Westlake,OH,44145,41.4615685424,-81.9513030882,4,62,"Mexican, Bars, Restaurants, Vegetarian, Nightlife"
K0dp91jd_vqW4uNgvW6oag,Valliant's Diner,3418 Babcock Blvd,Pittsburgh,PA,15237,40.5390935,-80.023619,3,32,"Restaurants, Breakfast & Brunch"
eU_713ec6fTGNO4BegRaww,La Tavola Italiana,1 Boggs Ave,Pittsburgh,PA,15211,40.4267793,-80.005652,3.5,132,"Restaurants, Italian, Pizza"
u5Wuzp8uC79IuCglLHXpag,Casa Del Sole Pizza,222 1st St,Aspinwall,PA,15215,40.4904256,-79.9040956,4,18,"Pizza, Restaurants"
zzwhN7x37nyjP0ZM8oiHmw,Carmody's Grille,4905 Grand Ave,Pittsburgh,PA,15225,40.5099687,-80.1253459,4,54,"Restaurants, American (New)"
Gf40Ghm5UXOPjyeURX7s8g,Sully's Irish Pub,117 W Liberty St,Medina,OH,44256,41.1393615,-81.8647896,4,80,"Nightlife, Bars, Restaurants, Irish, Pubs"
g-9ioGyD740qSJ1vSN-VrA,Lee's Wok,455 Penn Lincoln Dr,Imperial,PA,15126,40.4426319,-80.2362156,2.5,4,Restaurants
H9joK3yIE8CHkUPUwQmdLQ,Uncle Bo's Slow-n-low,8820 Bender Rd,North Ridgeville,OH,44039,41.3644602254,-82.056653629,3,4,"Restaurants, Barbeque"
jAQwIRxZNj2zndM5V9UOpw,Pittsburgh Field Club,121 Field Club Rd,Pittsburgh,PA,15238,40.51334,-79.889851,3.5,5,"Restaurants, Country Clubs, Arts & Entertainment, Active Life, Golf"
9IJ-TE4HEcAJQkUtc1A_Vw,Parallax Restaurant and Lounge,2179 W 11th St,Cleveland,OH,44113,41.482406,-81.68906,4,207,"Restaurants, Asian Fusion, Sushi Bars, Thai"
u-IVGF-wGwvxuj3uKQW8qw,Burgers 2 Beer,33003 Aurora Rd,Solon,OH,44139,41.3864055,-81.444422,3.5,79,"Bars, Restaurants, Nightlife, Food, Burgers, American (New)"
xGSGa7iHLdEODNsdfePCeg,Ruby Thai,870 Southpark Ctr,Strongsville,OH,44136,41.30875,-81.819944,3.5,7,"Thai, Restaurants"
EDjKoA9kv4bn9UXnocnFXA,Pizza Ranchini,1039 Hamil Rd,Verona,PA,15147,40.5024446,-79.8125826,3,4,"Italian, Restaurants, Chicken Wings, Soup, Pizza"
nL4cq4GEz4uiM48nz5E7ug,Gus's Family Restaurant,4377 State Rd,Cleveland,OH,44109,41.435181300000004,-81.7066462,4,38,"Breakfast & Brunch, Restaurants, American (Traditional)"
ORloM7z9R9eh-G-an5DQLA,Michelle's Place,"144 N Court St, Ste B",Medina,OH,44256,41.1404321,-81.8636042,3,20,"Desserts, American (New), Restaurants, American (Traditional), Sandwiches, Breakfast & Brunch, Food"
Mem13A3C202RzT53npn4NA,Pierogies Plus,342 Island Ave,McKees Rocks,PA,15136,40.4688708,-80.0599363,4.5,74,"Caterers, Polish, Event Planning & Services, Restaurants"
ln-9sGJL8hVjSDwDcwEXWw,U Food Grill,5300 Riverside Dr,Cleveland,OH,44135,41.410913,-81.833665,2.5,7,"Juice Bars & Smoothies, Restaurants, Sandwiches, Food"
c9UmJiX2G7hKMpivZ3h1oQ,"Pastoli's Pizza, Pasta & Paisans",1900 Murray Ave,Pittsburgh,PA,15217,40.4358226,-79.9230998,4.5,96,"Gluten-Free, Italian, Chicken Wings, Restaurants, Vegan, Pizza, Vegetarian"
mpG1R1ktTI3x1twNBsGvXQ,Blue Ginger Asian Bistro,1061 W Pleasant Valley Rd,Parma,OH,44134,41.3598122952,-81.685648767199993,4,128,"Sushi Bars, Japanese, Asian Fusion, Restaurants, Chinese"
s2SKj_RhbvnP2Ew8TJuy7A,Burntwood Tavern,3750 W Market St,Fairlawn,OH,44333,41.135428,-81.633936,4,71,"Restaurants, American (New), American (Traditional), Gluten-Free"
_EVOLAjWYEfSOO_smbBxaA,Chipotle Mexican Grill,11359 Perry Hwy,Wexford,PA,15090,40.6230711951,-80.0544984877,2.5,19,"Restaurants, Mexican, Fast Food"
jd1rD7jr-_zI46Oxh5lDLA,Antoon's Pizza,247 Atwood St,Pittsburgh,PA,15213,40.4401567,-79.9561451,3.5,24,"Restaurants, Italian, Pizza"
F9JDMhOEDsE0PnutWhGqAQ,Pizza Hut,10616 Lorain Ave,Cleveland,OH,44111,41.465371,-81.760242,1,4,"Italian, Chicken Wings, Restaurants, Pizza"
YAhRuV3oRkwGk3Or9PJ3Ww,Happy Garden,"3725 Medina Rd, Ste 103",Medina,OH,44256,41.1378021,-81.8214969,3,14,"Food, Chinese, Restaurants, Seafood, Poke"
09pf_DnQV5Y5y2reoIPXlw,Primanti Bros,5491 Penn Ave,Pittsburgh,PA,15206,40.4643083,-79.9326184,3.5,36,"Restaurants, American (New), Bars, Sports Bars, Sandwiches, Nightlife"
WvkxYyA1fXDPDyqIVn8zBQ,Franklin Square Deli,108 S Water St,Kent,OH,44240,41.153555,-81.3583628,3,40,"Caterers, Restaurants, Event Planning & Services, Delis"
B1dCyA21u1mG1bcrq9TTYg,Hook Fish & Chicken,11644 Frankstown Rd,Pittsburgh,PA,15235,40.4652145,-79.8272067,3,11,"Restaurants, Chicken Wings, Seafood, Fish & Chips"
Sr_VUJBhqcKCDLRv0JkrDg,McDonald's,1650 Copley Rd,Akron,OH,44320,41.0841590818,-81.5813845878,1,3,"Coffee & Tea, Burgers, Fast Food, Restaurants, Food"
-WVF5DKZeEWlMK8Cucto-A,Savoy,2623 Penn Ave,Pittsburgh,PA,15222,40.4554975,-79.9780389,3.5,138,"Restaurants, American (Traditional), Bars, Nightlife, Seafood, Wine Bars, American (New)"
R2hVz1386VvoPFLdUbJyDQ,Mama Pepino's Pizza & Pub,44 Monongahela Ave,Glassport,PA,15045,40.334864,-79.8911938,3.5,9,"Restaurants, Italian, Pizza"
YTNgCm8-TlyLvkBXCGxeMg,Subway,3784 W 117th St,Cleveland,OH,44111,41.4500971,-81.7694673,3,3,"Sandwiches, Restaurants, Fast Food"
sFz9UyOTZLMAfSP0yyIODQ,Thirsty Dog East Bank,1075 Old River Rd,Cleveland,OH,44113,41.4995718,-81.7060181,3,60,"Food, American (New), Brewpubs, Restaurants, Breweries"
R-GbmmHHfAyPo1qs4jo0TA,Il Tetto:  A Rooftop Beer Garden,"942 Penn Ave, Fl 3",Pittsburgh,PA,15222,40.4439496,-79.9964366,3,77,"Italian, Restaurants, Bars, Nightlife, Beer Gardens"
fYUS9YkYPccCx9eaYc9t5g,Stella's Restaurant,400 Freeport St,New Kensington,PA,15068,40.5572525,-79.7608845,4,17,"American (Traditional), Restaurants, Pizza, Chicken Wings"
XUA7xA7myMaCuN6G3xYdIA,Number One Pho,3120 Superior Ave E,Cleveland,OH,44114,41.5108298,-81.6691226,3.5,187,"Tex-Mex, Vietnamese, Restaurants"
qCL_TYK8MFHkUOkMaidabw,Wing Warehouse,10223 Northfield Rd,Northfield,OH,44067,41.3369371,-81.5293859,2.5,27,"Restaurants, Chicken Wings"
vuC03KldDXReH8VTqRK03g,LaRich's Pizza,797 Bishop Rd,Cleveland,OH,44143,41.5395116,-81.4780912,3.5,7,"Italian, Pizza, Chicken Wings, Restaurants"
FE135tFrIhxrtAkf6-A1Rw,Hardee's,1201 N Ave,Pittsburgh,PA,15209,40.4931766,-79.9755103,4,22,"Restaurants, American (Traditional), Fast Food, Burgers"
uanNv8sJLEw3rUpqdiR8Rg,Mr Hero,24932 Aurora Rd,Bedford,OH,44146,41.4109023,-81.502847,4,3,"Restaurants, Fast Food"
_u3Ouf5o_39HXuwV-oFSxg,Farmer In the Deli,12612 Chillicothe Rd,Chesterland,OH,44026,41.52582,-81.336286,4,17,"Food, Specialty Food, Delis, Fruits & Veggies, Restaurants"
z4CYPDxL_L74GnaD35a9Yw,Zen's Noodle House,3531 Forbes Ave,Pittsburgh,PA,15213,40.4405187,-79.9585673,3.5,77,"Noodles, Restaurants, Japanese, Ramen"
24hc1g8a7besgI0tMb3v7w,Moe's Southwest Grill,1597 Washington Pike,Bridgeville,PA,15017,40.3834121992,-80.0955202135,3.5,24,"Mexican, Tex-Mex, Restaurants"
rZpXmd43n82bUijNqBu0uw,Alexandris Restaurant,2835 Medina Rd,Medina,OH,44256,41.1367315,-81.7893027,3.5,26,"Restaurants, Greek, Breakfast & Brunch"
aOvEr1tluvkmwZjpzfxBAg,strEat Mobile Bistro,801 W Superior Ave,Cleveland,OH,44113,41.4961829,-81.6972642,4.5,20,"Street Vendors, Food Stands, Restaurants, Food, Cafes, Food Trucks, American (New)"
TlwnrbGJA1jiudJBUWs1hQ,Panera Bread,32305 Lorain Rd,North Ridgeville,OH,44039,41.385899,-81.9751,3,19,"Sandwiches, Bagels, Soup, Breakfast & Brunch, Salad, Restaurants, Bakeries, Food"
0rN_o7_IfshAHQwzMUK8nA,Chipotle Mexican Grill,33599 Aurora Rd,Solon,OH,44139,41.3853423,-81.4406239,2,57,"Restaurants, Mexican, Fast Food"
JlkHGjgS3MJ5FqEDJdu8xQ,Bravo Cucina Italiana,3265 W Market St,Fairlawn,OH,44333,41.1339533,-81.6175508,3.5,59,"American (Traditional), Bars, Cocktail Bars, Gluten-Free, Nightlife, American (New), Restaurants, Breakfast & Brunch, Italian"
by7BOr074_BKz7hkRIi9WQ,Sammy's Place,2350 Noblestown Rd,Pittsburgh,PA,15205,40.4276163,-80.0555006,3.5,14,"Pizza, Restaurants"
cMEln0QCOYFRykhvdkLJzg,Akira Hibachi & Sushi,6025 Kruse Dr,Solon,OH,44139,41.3938,-81.445,3.5,58,"Japanese, Restaurants"
OeEFy7MvilARAcZ9n6pwow,Rockne's,5121 Buehlers Dr,Medina,OH,44256,41.1358602,-81.8146315,3,27,"Sandwiches, American (New), Bars, Beer Bar, Restaurants, Nightlife"
lK_iVjCur58if_XcbENGqg,Don Campiti's Pizzeria,1509 Potomac Ave,Pittsburgh,PA,15216,40.3966855,-80.0356409,4,54,"Pizza, Restaurants"
HYN6S4Z7bMR68TF2lX3NIw,Harvard Wine & Grill,14201 Harvard Ave,Cleveland,OH,44128,41.449265,-81.5827479,2.5,10,"Bars, Restaurants, Wine Bars, American (Traditional), Nightlife, Barbeque"
or4yipilbCkKIFnF1RP5Ow,Skye Bistro,8434 Mentor Ave,Mentor,OH,44060,41.6664422687,-81.3388870172,4,47,"Sandwiches, Pubs, Nightlife, Bars, American (Traditional), Italian, Restaurants"
NedFi7jMMXHRREYxoKXmBQ,Honey Baked Ham Company,35101 Euclid Avenue,Willoughby,OH,44094,41.626608,-81.437889,4.5,7,"Delis, Sandwiches, Food, Cafes, Restaurants, Specialty Food, Salad, Meat Shops"
ZL6BK8wweb-8ncJ7kFIG-A,Aiello's Pizzeria,3348 Rte 130,Harrison City,PA,15636,40.3550315,-79.6504518,4.5,43,"Restaurants, Pizza, Italian"
PjQngP_7m7PA8K1WUHdXqg,RETRO Dog,350 E Steels Corners Rd,Cuyahoga Falls,OH,44224,41.1807153518,-81.4947722541,3.5,158,"Food, American (New), Burgers, Ice Cream & Frozen Yogurt, Hot Dogs, Restaurants"
xkfXBsu4TmwKpWoNBLruiA,NY Bagel Deli,"3725 Medina Rd, Ste 115",Medina,OH,44256,41.1378021,-81.8214969,4,54,"Food, Sandwiches, Salad, Restaurants, Bagels"
mxsgQr4mugtFCsu8ZqzFLA,Luchita's In Mentor,8870 Mentor Ave,Mentor,OH,44060,41.6738589,-81.3228213,2.5,3,Restaurants
b6vi3Ub0tbGzGtG-pVgJfQ,Dana's Bakery,720 N Homewood Ave,Pittsburgh,PA,15208,40.4561116,-79.8965418,4.5,9,"Bakeries, Restaurants, Food"
BxWRVYVepLmhTf3TAlRUlw,Subway,3441 Miller's Run Rd,Cecil,PA,15321,40.3186133324,-80.2045314441,3.5,3,"Sandwiches, Restaurants"
H087dS5FpllJN7UVW7_Qzw,Eliseo's Pizza,3352 Oberlin Ave,Lorain,OH,44053,41.440102,-82.185766,2.5,3,"Restaurants, Pizza"
qbDaSyxDfUZNheucJym2Pg,Golden Dragon,5871 Mayfield Rd,Cleveland,OH,44124,41.5205198,-81.4678638,2.5,42,"Seafood, Restaurants, Chinese"
Xdoqt46KMRBiaWWMa41m1A,The Coal Mine,3160 Library Rd,Pittsburgh,PA,15234,40.3717019,-80.0090216,4,4,"Pubs, Pizza, Chicken Wings, American (Traditional), Beer, Wine & Spirits, Restaurants, Bars, Food, Nightlife"
uarJTrBc8VsXlZm9qlQVAw,Round The Corner Carry Out,2056 Saxonburg Blvd,Gibsonia,PA,15044,40.6255772935,-79.8607573175,5,9,"Restaurants, Pizza"
RcsfZ7IrWSNvM1AYcLmWNw,Steak ’n Shake,2005 Pittsburgh Mills Blvd,Tarentum,PA,15084,40.5700855645,-79.8012596369,3,9,"Food, American (New), Steakhouses, Fast Food, Juice Bars & Smoothies, Burgers, Diners, Restaurants, American (Traditional), Breakfast & Brunch"
owV0aSgh4t_9aG56iPxGEw,Panda Express,6895 Ridge Rd,Parma,OH,44129,41.3780450831,-81.7341383189,2.5,47,"Chinese, Fast Food, Restaurants"
K5iqS0JXnKFFujZHIWQsag,Dover Gardens Tavern,27402 Detroit Rd,Westlake,OH,44145,41.467006,-81.9245371,3.5,26,"Bars, Burgers, Dive Bars, Nightlife, Beer Bar, Restaurants, Pubs, American (Traditional)"
Yyag9ZHs0hZ7UIGFC04Vqw,Now That's Class Lounge,11213 Detroit Ave,Cleveland,OH,44102,41.482563,-81.7656037,4,49,"Restaurants, Dive Bars, Bars, Arts & Entertainment, Music Venues, Nightlife, Breakfast & Brunch"
L0DJ7-GUDMLIlIR-7vykvQ,Merante's Gifts,4723 Liberty Ave,Pittsburgh,PA,15224,40.4619011,-79.9490237,4.5,15,"Flowers & Gifts, Gift Shops, Shopping, Italian, Cooking Classes, Restaurants, Arts & Crafts"
hmIcYx04ulrt7FuNcNltsg,Aladdin's Eatery,3895 Medina Rd,Fairlawn,OH,44333,41.1384839,-81.6402385,4,62,"Middle Eastern, Restaurants"
PbOQlLSloU5Zkpth5I3cjA,Vocelli Pizza,617 Brownsville Rd,Pittsburgh,PA,15210,40.4102747,-79.990068,4.5,7,"Restaurants, Pizza"
kZ36LGvnwetEq-seqwhkkw,Abuelo's,26100 Harvard Rd,Warrensville Heights,OH,44122,41.449149,-81.496383,3.5,112,"Tex-Mex, Restaurants, Mexican"
mrCOQuRY60xAMkQVSf3nCA,Parnell's Irish Pub,1415 Euclid Ave,Cleveland,OH,44115,41.5024757478,-81.683625942,4.5,42,"Irish, Irish Pub, Bars, Restaurants, Pubs, Nightlife"
VDn6tM_Q_08CVuNHSUH4Lw,Lakewood Village Tavern,13437 Madison Ave,Lakewood,OH,44107,41.476796,-81.786777,3.5,13,"Burgers, Nightlife, Bars, Karaoke, Steakhouses, Dive Bars, Restaurants"
UEY70uNV3BxMbxjNmg0apg,Golden Palace,1782 Golden Mile Hwy,Monroeville,PA,15146,40.4451678,-79.7128515,4.5,34,"Sushi Bars, Chinese, Thai, Restaurants"
Qs5fQqmc_yWmgZjHcadU7g,Rudy Martino Original House of Submarines,1918 Monongahela Ave,Pittsburgh,PA,15218,40.4213034,-79.8902636,5,9,"Sandwiches, Restaurants, Diners"
6x4BDO6DrX9QXecdPCpVwA,House of Blues Restaurant & Bar,308 Euclid Ave,Cleveland,OH,44114,41.499225,-81.6906427,4,35,"American (New), Restaurants, Barbeque, Burgers, Southern"
UEEDnMulA6q6I_q9HDxpEA,McDonald's,1050 Graham Rd,Cuyahoga Falls,OH,44224,41.1627833345,-81.4758901298,2,17,"Coffee & Tea, Restaurants, Hot Dogs, Burgers, Fast Food, Food"
FJoXrkLaLh76MgHXKdJJFw,Someone Else's Bar,3841 Willow Ave,Pittsburgh,PA,15234,40.365113,-80.0261797,4,69,"American (Traditional), Nightlife, Bars, Restaurants"
CADEGYHiM3IQHPO2X3OOwQ,Jimmy John's,14993 Pearl Rd,Strongsville,OH,44136,41.306317,-81.8345108,3,9,"Fast Food, Delis, Sandwiches, Food, Food Delivery Services, Restaurants"
2lcK3d4K7FU6O8wXdWzOmA,Cabin Club,30651 Detroit Rd,Westlake,OH,44145,41.4605556,-81.958732,4,126,"American (New), Restaurants, Steakhouses, Nightlife, Bars"
2EhBiUnUTl_H2s4DXdKCTg,Bistro 19,711 Washington Rd,Pittsburgh,PA,15228,40.380092,-80.044438,4,163,"Bistros, American (New), Restaurants"
MfgewgMdqCx_JWk--6PgfA,Kretzler's Tavern,2240 Babcock Blvd,Pittsburgh,PA,15237,40.5125579,-79.9971984,3,59,"Nightlife, Bars, Burgers, American (Traditional), Restaurants"
L1qCbC-FMbcCIt-LtqVIOQ,Romeo's Pizza,28931 Lorain Rd,North Olmsted,OH,44070,41.4071441722,-81.9420079177,4,10,"Restaurants, Sandwiches, Pizza, Salad"
cfjkP0icF3wdaOJQJUy9sw,Wendy's,5422 Baum Blvd,Pittsburgh,PA,15232,40.4571266518,-79.9377973675,2,37,"Fast Food, Restaurants, Burgers"
nqhJsABaWaKhOQrR79J-wg,Johnny J's Pub & Grille,15323 Pearl Rd,Strongsville,OH,44136,41.30413595,-81.8335489556,3.5,42,"Nightlife, Pubs, Sports Bars, Bars, Restaurants, Gastropubs, Irish Pub, Fast Food"
7LzhLKAwS7PHUvaPIW833A,Dominic's Santos,21467 Lorain Rd,Cleveland,OH,44126,41.4436519,-81.8581755,3.5,37,"American (Traditional), Italian, Pizza, Restaurants"
TnO9SmZoRNfJlbNV1wBKYw,Red Lantern Kitchen & Bar,17446 Lorain Ave,Cleveland,OH,44111,41.4513105983,-81.8186925352,3.5,104,"Restaurants, Gastropubs"
cInZkUSckKwxCqAR7s2ETw,First Watch,13950 Cedar Rd,University Heights,OH,44118,41.5007664,-81.5377888,3.5,73,"American (Traditional), Cafes, Restaurants, Breakfast & Brunch"
X2lgI8CuVEsH5UDs14rMhw,Andys Wine Bar,510 Market Street,Pittsburgh,PA,15222,40.4414335,-80.0020533,3.5,61,"Bars, Nightlife, Restaurants, Jazz & Blues, Cocktail Bars, Wine Bars, Arts & Entertainment"
Xxz0qN2tdBaqMT7WVdg4yQ,Denny's,7700 Mentor Ave,Mentor,OH,44060,41.6590021038,-81.3658992987,3,10,"Fast Food, Breakfast & Brunch, American (Traditional), Diners, Restaurants"
3pfAT4rgf8MmnoAPhkcU3A,Bob Evans,3489 Hudson Dr,Stow,OH,44224,41.1644441723,-81.476444006,2,21,"Food, Breakfast & Brunch, Hotels & Travel, Desserts, Bed & Breakfast, Salad, American (Traditional), Comfort Food, Restaurants"
jfK-_0x_r7Qgdg2wj60iAQ,Smiles Chinese Food,500 W Aurora Rd,Northfield,OH,44067,41.3135096898,-81.5569987893,3,10,"Fast Food, Chinese, Restaurants, Asian Fusion"
Uv7dO93lwpq0MqGsu6-_XQ,Banana Peppers,840 Gill Hall Rd,Jefferson Hills,PA,15025,40.300187,-79.9623986,4,9,"Restaurants, Event Planning & Services, Pizza, Caterers"
Y3RWEmu4ykuc2LvG3Qv9Ew,Pizza Roma,785 Som Center Rd,Mayfield,OH,44143,41.540021,-81.438065,4,29,"Pizza, Restaurants"
6yGSXuQdqsLiOZkOmd1Jsg,Hot Shots South Park Saloon,4099 Brownsville Rd,Library,PA,15129,40.2864121,-80.0197939,3.5,10,"American (Traditional), Sports Bars, Nightlife, Restaurants, Bars"
