"","GoodForKids","RestaurantsReservations","Caters","RestaurantsTableService","RestaurantsTakeOut","RestaurantsPriceRange2","OutdoorSeating","BikeParking","HasTV","RestaurantsGoodForGroups","RestaurantsDelivery","BusinessAcceptsCreditCards","BusinessAcceptsBitcoin","ByAppointmentOnly","AcceptsInsurance","GoodForDancing","CoatCheck","HappyHour","WheelchairAccessible","DogsAllowed","DriveThru","AgesAllowed","Corkage","BYOB","Open24Hours","stars","reviewcount","state"
"74",3,2,1,3,3,2,1,3,3,3,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,3.5,187,"OH"
"75",1,1,1,0,3,1,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,27,"OH"
"76",3,1,3,0,3,3,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7,"OH"
"77",3,1,0,0,3,1,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,"PA"
"78",3,1,0,0,3,1,0,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,"OH"
"79",0,0,0,0,3,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,"OH"
"80",3,1,0,0,3,1,1,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,77,"PA"
"81",3,1,3,1,3,1,3,3,3,3,1,3,1,0,0,0,0,0,2,1,0,0,0,0,0,3.5,24,"PA"
"82",3,1,1,3,3,1,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,26,"OH"
"83",3,1,3,0,3,1,3,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,20,"OH"
"84",3,1,3,0,3,1,3,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,"OH"
"85",3,1,1,0,3,1,3,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,"OH"
"86",3,2,3,0,3,2,3,1,3,3,3,3,1,0,0,1,0,3,0,0,0,0,0,0,0,3.5,59,"OH"
"87",3,1,0,0,3,1,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,14,"PA"
"88",3,2,1,3,3,2,1,3,3,3,1,3,0,0,0,0,0,0,2,0,0,0,1,0,0,3.5,58,"OH"
"89",3,1,1,0,3,1,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,"OH"
"90",3,1,1,1,3,1,1,3,3,1,1,3,1,0,0,0,0,0,2,1,0,0,0,0,0,4,54,"PA"
"91",1,1,1,0,3,3,3,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,10,"OH"
"92",1,2,0,0,3,2,3,1,3,3,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,47,"OH"
"93",0,1,0,0,3,3,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,7,"OH"
"94",3,1,3,1,3,2,3,3,3,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4.5,43,"PA"
"95",3,1,3,0,3,1,3,3,3,3,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,3.5,158,"OH"
"96",3,1,3,1,3,2,3,3,3,3,1,3,0,0,0,0,0,0,2,1,0,0,0,0,0,4,54,"OH"
"97",0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,"OH"
"98",0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,9,"PA"
"99",0,1,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3,"PA"
"100",3,0,3,0,3,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,"OH"
"101",3,2,3,0,3,2,1,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,42,"OH"
"102",1,1,1,3,3,2,1,1,3,3,1,3,0,0,0,1,1,3,2,1,0,0,0,0,0,4,4,"PA"
"103",3,1,0,0,3,1,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,"PA"
"104",3,1,1,0,3,1,1,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,"PA"
"105",3,1,1,1,3,1,3,3,3,3,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2.5,47,"OH"
"106",1,2,1,3,3,1,3,3,3,3,1,3,1,0,0,1,1,3,2,3,1,0,0,0,0,3.5,26,"OH"
"107",1,1,1,0,1,1,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,"OH"
"108",1,2,3,0,3,2,0,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,15,"PA"
"109",3,1,3,3,3,2,3,1,1,3,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,4,62,"OH"
"110",3,1,0,0,3,2,1,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,7,"PA"
"111",3,1,1,0,3,2,1,1,3,3,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3.5,112,"OH"
"112",1,1,0,0,1,2,3,1,3,3,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4.5,42,"OH"
"113",1,1,0,0,3,1,1,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,13,"OH"
"114",3,2,0,3,3,2,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,34,"PA"
"115",3,1,0,0,3,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,"PA"
"116",0,2,1,3,3,2,3,3,3,3,1,3,1,0,0,0,0,0,2,0,1,0,0,0,0,4,35,"OH"
"117",3,1,1,1,3,1,1,0,3,3,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,2,17,"OH"
"118",3,1,1,0,3,2,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,69,"PA"
"119",3,1,3,0,3,1,3,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,"OH"
"120",1,2,1,0,3,3,1,3,3,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,126,"OH"
"121",1,2,3,0,3,2,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,163,"PA"
"122",3,1,3,3,3,1,1,3,3,3,1,3,0,0,0,1,0,3,0,0,0,0,0,0,0,3,59,"PA"
"123",3,1,3,0,3,2,3,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,"OH"
"124",3,1,1,0,3,1,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37,"PA"
"125",3,1,1,1,3,2,3,3,3,3,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,3.5,42,"OH"
"126",3,2,3,3,3,2,3,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,37,"OH"
"127",1,1,1,3,3,2,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,104,"OH"
"128",3,1,1,3,3,1,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,73,"OH"
"129",1,1,1,0,1,2,3,3,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,61,"PA"
"130",3,1,1,0,3,1,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,"OH"
"131",3,1,0,0,3,2,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,"OH"
"132",0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,"OH"
"133",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,"PA"
"134",3,1,3,0,3,1,3,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,"OH"
"135",1,1,0,0,3,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,10,"PA"
"136",0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,"OH"
"137",3,2,1,3,3,2,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,117,"PA"
"138",3,1,0,3,3,1,1,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,25,"PA"
"139",3,1,3,1,3,1,3,3,1,3,3,3,1,0,0,0,0,0,2,1,0,0,0,0,0,4,34,"PA"
"140",0,1,0,0,3,1,1,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,"OH"
"141",3,2,1,0,3,2,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,78,"PA"
"142",3,1,0,1,3,1,1,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,"OH"
"143",3,1,3,0,3,2,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,62,"OH"
"144",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,"OH"
"145",3,1,0,1,3,2,0,0,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,"PA"
"146",3,1,1,3,3,1,1,3,3,3,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,4,614,"OH"
"147",0,1,3,1,3,1,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,8,"OH"
"148",3,1,3,0,3,1,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,65,"PA"
"149",0,1,0,0,0,1,3,3,3,3,0,1,1,0,0,0,1,3,2,1,0,0,0,0,0,4,5,"PA"
"150",0,0,0,0,3,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,"OH"
"151",3,1,1,0,3,1,1,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,"OH"
"152",3,1,0,0,3,1,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,"OH"
"153",3,0,3,0,3,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,"OH"
"154",3,1,1,1,3,1,3,3,1,3,1,3,0,0,0,0,0,0,2,0,2,0,1,1,0,3,16,"PA"
"155",3,1,1,0,3,1,3,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,11,"OH"
"156",3,1,3,0,3,2,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,66,"OH"
"157",3,2,3,0,3,2,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,96,"OH"
"158",3,2,3,3,3,2,1,3,3,3,1,3,0,0,0,0,1,3,2,0,0,0,0,0,0,4.5,16,"OH"
"159",3,1,1,0,3,1,3,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,"OH"
"160",3,1,0,0,3,2,3,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,"PA"
"161",3,1,3,0,3,2,1,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,"OH"
"162",3,2,3,0,3,1,1,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,26,"PA"
"163",0,1,0,0,0,2,1,1,3,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3.5,26,"OH"
"164",3,1,3,0,3,1,3,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,"PA"
"165",0,0,0,0,1,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,"OH"
"166",3,1,3,3,3,2,1,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,"OH"
"167",3,0,0,0,3,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,"PA"
"168",3,1,3,0,3,2,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,31,"OH"
"169",3,1,1,0,3,2,1,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,"OH"
"170",3,1,3,1,3,2,3,3,1,1,3,3,0,0,0,1,1,3,2,0,0,0,0,0,0,4,57,"PA"
"171",3,1,3,0,3,2,1,1,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,19,"PA"
"172",3,2,3,0,3,2,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,74,"OH"
"173",3,2,0,0,3,2,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,11,"PA"
"174",3,1,3,0,3,1,1,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,50,"OH"
"175",3,1,1,0,3,2,3,3,3,3,1,3,0,0,0,1,1,3,0,0,0,0,0,0,0,3.5,271,"OH"
"176",3,1,1,0,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,"OH"
"177",3,0,3,0,3,1,0,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,8,"OH"
"178",0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3.5,11,"OH"
"179",3,1,3,3,3,2,3,3,3,3,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,3,45,"OH"
"180",3,1,0,0,3,1,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,4,"PA"
"181",3,2,0,0,3,2,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,17,"OH"
"182",3,2,3,0,3,2,3,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,67,"PA"
"183",3,1,1,0,3,1,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,"PA"
"184",3,2,0,3,3,2,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,"OH"
"185",1,1,1,0,3,2,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,"OH"
"186",3,1,0,0,3,1,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,10,"PA"
"187",3,1,0,3,3,1,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,33,"OH"
"188",3,1,0,0,3,1,1,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,18,"PA"
"189",3,1,3,0,3,1,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,8,"PA"
"190",3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,"PA"
"191",3,1,3,1,3,1,3,3,1,3,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,4,61,"OH"
"192",3,1,0,1,3,1,3,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,81,"PA"
"193",1,1,0,0,3,2,0,3,1,1,1,3,1,1,0,0,0,0,2,1,0,0,0,0,0,5,14,"OH"
"194",0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,"OH"
"195",0,0,1,0,3,2,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,27,"PA"
"196",1,2,3,3,3,2,3,3,3,3,1,3,0,0,0,1,1,3,2,0,0,0,0,0,0,4,124,"OH"
"197",1,2,0,0,1,2,3,3,3,3,1,3,1,0,0,0,0,3,2,0,0,0,0,0,0,3,16,"OH"
"198",1,1,3,0,3,2,0,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5,"PA"
"199",0,0,1,0,3,1,3,3,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,61,"PA"
"200",3,1,3,0,3,1,1,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,"OH"
"201",3,1,1,0,3,1,1,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,"PA"
"202",1,2,0,0,3,2,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,30,"OH"
"203",3,1,0,3,3,2,1,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,"PA"
"204",3,1,0,0,3,2,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,39,"OH"
"205",3,0,0,0,0,2,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,"PA"
"206",3,2,1,3,3,2,3,3,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,223,"OH"
"207",3,1,0,0,3,2,1,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,"PA"
"208",1,2,3,3,1,2,3,3,3,3,1,3,0,0,0,1,1,3,2,0,0,0,0,0,0,4,104,"OH"
"209",3,1,1,0,3,1,1,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,"PA"
"210",3,1,0,0,3,2,1,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,35,"OH"
"211",0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,"OH"
"212",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,"OH"
"213",3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,"PA"
"214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,"OH"
"215",1,1,1,0,1,1,1,1,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5,19,"OH"
